,PctOfHomesDecreasingInValues,distance_grocery_km,distance_public_school_arts_center_km,distance_public_school_ye_km,ListPrice2_delta,FreddieMac15yr,PriceIndex,distance_cap_gain_school_km,SaleCount,TaxTotalLivingArea,count_metro_station_km,YearBuilt,Acres,Bedrooms,BasementY/N,Fireplaces,TotalTaxes2,DOMP,qcut_DOMP
1291,32.26,0.698721583,2.1819944442,2.9139215867000003,-0.10856415154409424,3.91,167.9615905,2.1820012437000003,3,504.0,12,1963,0.0,1,0,0,2216.0,23,0
1292,53.59,0.698721583,2.1819944442,2.9139215867000003,0.506827564306129,3.32,167.5460189,2.1820012437000003,1,979.0,12,1963,0.0,2,0,0,3687.0,175,0
1293,53.59,0.698721583,2.1819944442,2.9139215867000003,-0.12670689107653224,3.32,167.5460189,2.1820012437000003,1,504.0,12,1963,0.0,1,0,0,2242.0,72,0
1294,2.1,0.698721583,2.1819944442,2.9139215867000003,0.2258436688779925,3.27,189.236479,2.1820012437000003,1,918.0,12,1963,0.0,2,0,0,3382.0,8,0
1295,4.29,0.698721583,2.1819944442,2.9139215867000003,0.0777304964539007,3.48,188.1721628,2.1820012437000003,1,760.0,12,1963,0.0,1,0,0,2860.0,8,0
1296,13.28,0.698721583,2.1819944442,2.9139215867000003,-0.05678233438485805,2.86,174.6158156,2.1820012437000003,1,504.0,12,1963,0.0,1,0,0,2060.0,5,0
1297,4.29,0.698721583,2.1819944442,2.9139215867000003,0.20567375886524825,3.48,188.1721628,2.1820012437000003,2,721.0,12,1963,0.0,1,0,0,2760.0,7,0
1298,31.89,0.698721583,2.1819944442,2.9139215867000003,0.22825735531846106,3.14,168.5979178,2.1820012437000003,2,793.0,12,1963,0.0,1,0,0,2823.0,10,0
1299,3.92,0.698721583,2.1819944442,2.9139215867000003,0.05871330418488445,2.76,179.37516409999995,2.1820012437000003,1,498.0,12,1963,0.0,1,0,0,2147.0,11,0
1300,19.68,0.698721583,2.1819944442,2.9139215867000003,0.3796384395813511,2.85,174.1138544,2.1820012437000003,1,793.0,12,1963,0.0,1,0,0,2823.0,5,0
1301,55.14,0.0915938566,0.6790418643,1.3685387207,-0.03593556381660471,3.69,168.89499540000003,3.3044041468,1,880.0,6,1970,0.0,2,0,0,3099.0,80,0
1302,55.14,0.0915938566,0.6790418643,1.3685387207,0.4498141263940521,3.69,168.89499540000003,3.3044041468,1,1462.0,6,2004,0.0,2,0,1,5229.0,384,0
1303,2.39,0.4695055645,2.4938827108000003,2.6134330868,2.9622066443157573,3.17,187.9588779,2.4938898516,1,4384.0,11,1890,0.027000000000000003,4,0,6,10670.0,0,0
1304,4.7,1.5982881290000002,8.6421921455,1.3853364662,0.6310240963855421,2.66,182.5429545,2.3580873784,1,2440.0,0,2007,0.085,4,1,0,3210.0,6,0
1305,88.51,2.3592751188,10.4231165152,3.6452094861,0.2403697996918336,4.42,168.7854764,2.1925046516,1,1625.0,0,1928,0.162,4,1,1,2929.0,9,0
1306,3.65,0.6717621673999999,4.994459925899999,0.8204927256,0.2544542032622334,2.66,182.5429545,1.1575742749,1,1372.0,0,1926,0.037000000000000005,4,1,0,1928.0,13,0
1307,5.0,0.5048889635,1.2599717578,1.4309510116,0.386443661971831,2.72,185.6306252,3.4297340459,1,1679.0,5,1910,0.0,3,0,0,5134.0,49,0
1308,57.15,0.914127888,2.1029942946,1.2731673406,-0.04429572976418101,3.66,166.02525580000002,0.6819970345,2,2016.0,0,1926,0.115,4,1,1,4632.0,215,0
1309,6.74,0.15494067220000002,0.783594955,1.4896746915,0.6501416430594901,3.03,171.19616330000005,3.4258998739,1,1864.0,5,1895,0.0,2,0,2,5337.0,51,0
1310,2.25,0.15494067220000002,0.783594955,1.4896746915,0.2509602586042974,3.35,188.9390719,3.4258998739,1,2295.0,5,1895,0.0,3,0,0,7181.0,74,0
1311,52.04,1.8315381506,5.547012830599999,4.7339772963,0.20950323974082075,3.81,166.7851862,1.3778440329,1,2086.0,4,1931,0.095,3,1,2,5764.0,62,0
1312,1.06,0.5992108814,3.5008222910000004,1.1221439116,0.5629607785314067,3.17,187.9588779,1.1287286258,1,1952.0,0,1937,0.08900000000000001,4,1,0,3100.0,5,0
1313,53.83,0.1129980741,0.6359865106,1.3256122135,1.6418310202093986,4.09,163.3011429,3.2628256379,1,3654.0,6,1900,0.058,7,1,5,8579.0,181,0
1314,1.39,0.5551042196,0.4125734999,0.6922236918000001,0.026537749434272784,3.43,189.27894,2.6187178267,2,1796.0,6,1919,0.053,3,1,0,2807.0,7,0
1315,9.07,0.3246293209,3.0965008961,1.8728637318,-0.17392227649182418,3.27,195.9526553,2.9351646836,1,634.0,13,1908,0.0,1,0,1,2346.0,6,0
1316,1.32,0.7125127566,2.0663683672,3.0149997338,0.0590988882387361,3.52,189.5440738,2.0663750631,1,505.0,11,1921,0.0,1,0,0,2304.0,194,0
