RegionName,StateName,Month,Sales
20011,DC,2009-03,52
20011,DC,2009-04,33
20011,DC,2009-05,35
20011,DC,2009-06,52
20011,DC,2009-07,61
20011,DC,2009-08,54
20011,DC,2009-09,49
20011,DC,2009-10,55
20011,DC,2009-11,73
20011,DC,2009-12,79
20011,DC,2010-01,56
20011,DC,2010-02,33
20011,DC,2010-03,77
20011,DC,2010-04,55
20011,DC,2010-05,72
20011,DC,2010-06,69
20011,DC,2010-07,51
20011,DC,2010-08,49
20011,DC,2010-09,57
20011,DC,2010-10,55
20011,DC,2010-11,41
20011,DC,2010-12,36
20011,DC,2011-01,44
20011,DC,2011-02,47
20011,DC,2011-03,39
20011,DC,2011-04,57
20011,DC,2011-05,64
20011,DC,2011-06,59
20011,DC,2011-07,65
20011,DC,2011-08,55
20011,DC,2011-09,63
20011,DC,2011-10,49
20011,DC,2011-11,51
20011,DC,2011-12,57
20011,DC,2012-01,50
20011,DC,2012-02,39
20011,DC,2012-03,55
20011,DC,2012-04,53
20011,DC,2012-05,73
20011,DC,2012-06,71
20011,DC,2012-07,73
20011,DC,2012-08,60
20011,DC,2012-09,62
20011,DC,2012-10,59
20011,DC,2012-11,54
20011,DC,2012-12,81
20011,DC,2013-01,44
20011,DC,2013-02,69
20011,DC,2013-03,59
20011,DC,2013-04,81
20011,DC,2013-05,85
20011,DC,2013-06,89
20011,DC,2013-07,93
20011,DC,2013-08,60
20011,DC,2013-09,64
20011,DC,2013-10,78
20011,DC,2013-11,62
20011,DC,2013-12,78
20011,DC,2014-01,57
20011,DC,2014-02,65
20011,DC,2014-03,58
20011,DC,2014-04,94
20011,DC,2014-05,78
20011,DC,2014-06,76
20011,DC,2014-07,79
20011,DC,2014-08,70
20011,DC,2014-09,57
20011,DC,2014-10,75
20011,DC,2014-11,57
20011,DC,2014-12,81
20011,DC,2015-01,46
20011,DC,2015-02,53
20011,DC,2015-03,73
20011,DC,2015-04,62
20011,DC,2015-05,69
20011,DC,2015-06,93
20011,DC,2015-07,64
20011,DC,2015-08,62
20011,DC,2015-09,52
20011,DC,2015-10,71
20011,DC,2015-11,44
20011,DC,2015-12,67
20011,DC,2016-01,40
20011,DC,2016-02,40
20011,DC,2016-03,63
20011,DC,2016-04,62
20011,DC,2016-05,71
20011,DC,2016-06,44
20012,DC,2008-06,11
20012,DC,2008-07,11
20012,DC,2008-08,11
20012,DC,2008-09,13
20012,DC,2008-10,20
20012,DC,2008-11,12
20012,DC,2008-12,17
20012,DC,2009-01,10
20012,DC,2009-02,5
20012,DC,2009-03,8
20012,DC,2009-04,4
20012,DC,2009-05,14
20012,DC,2009-06,15
20012,DC,2009-07,15
20012,DC,2009-08,27
20012,DC,2009-09,15
20012,DC,2009-10,10
20012,DC,2009-11,10
20012,DC,2009-12,22
20012,DC,2010-01,6
20012,DC,2010-02,3
20012,DC,2010-03,17
20012,DC,2010-04,9
20012,DC,2010-05,13
20012,DC,2010-06,23
20012,DC,2010-07,13
20012,DC,2010-08,10
20012,DC,2010-09,7
20012,DC,2010-10,13
20012,DC,2010-11,13
20012,DC,2010-12,9
20012,DC,2011-01,12
20012,DC,2011-02,4
20012,DC,2011-03,15
20012,DC,2011-04,7
20012,DC,2011-05,20
20012,DC,2011-06,15
20012,DC,2011-07,12
20012,DC,2011-08,14
20012,DC,2011-09,14
20012,DC,2011-10,9
20012,DC,2011-11,6
20012,DC,2011-12,15
20012,DC,2012-01,9
20012,DC,2012-02,6
20012,DC,2012-03,8
20012,DC,2012-04,10
20012,DC,2012-05,8
20012,DC,2012-06,20
20012,DC,2012-07,20
20012,DC,2012-08,17
20012,DC,2012-09,12
20012,DC,2012-10,16
20012,DC,2012-11,15
20012,DC,2012-12,12
20012,DC,2013-01,11
20012,DC,2013-02,9
20012,DC,2013-03,14
20012,DC,2013-04,13
20012,DC,2013-05,21
20012,DC,2013-06,14
20012,DC,2013-07,25
20012,DC,2013-08,16
20012,DC,2013-09,9
20012,DC,2013-10,10
20012,DC,2013-11,13
20012,DC,2013-12,27
20012,DC,2014-01,11
20012,DC,2014-02,9
20012,DC,2014-03,14
20012,DC,2014-04,14
20012,DC,2014-05,9
20012,DC,2014-06,16
20012,DC,2014-07,16
20012,DC,2014-08,14
20012,DC,2014-09,15
20012,DC,2014-10,15
20012,DC,2014-11,19
20012,DC,2014-12,15
20012,DC,2015-01,7
20012,DC,2015-02,4
20012,DC,2015-03,5
20012,DC,2015-04,10
20012,DC,2015-05,15
20012,DC,2015-06,17
20012,DC,2015-07,21
20012,DC,2015-08,21
20012,DC,2015-09,13
20012,DC,2015-10,14
20012,DC,2015-11,13
20012,DC,2015-12,15
20012,DC,2016-01,13
20012,DC,2016-02,12
20012,DC,2016-03,6
20012,DC,2016-04,23
20012,DC,2016-05,14
20012,DC,2016-06,19
20015,DC,2008-06,19
20015,DC,2008-07,25
20015,DC,2008-08,15
20015,DC,2008-09,12
20015,DC,2008-10,13
20015,DC,2008-11,18
20015,DC,2008-12,13
20015,DC,2009-01,5
20015,DC,2009-02,8
20015,DC,2009-03,8
20015,DC,2009-04,10
20015,DC,2009-05,17
20015,DC,2009-06,30
20015,DC,2009-07,24
20015,DC,2009-08,17
20015,DC,2009-09,23
20015,DC,2009-10,16
20015,DC,2009-11,20
20015,DC,2009-12,21
20015,DC,2010-01,18
20015,DC,2010-02,4
20015,DC,2010-03,10
20015,DC,2010-04,11
20015,DC,2010-05,26
20015,DC,2010-06,23
20015,DC,2010-07,24
20015,DC,2010-08,27
20015,DC,2010-09,11
20015,DC,2010-10,14
20015,DC,2010-11,23
20015,DC,2010-12,11
20015,DC,2011-01,15
20015,DC,2011-02,11
20015,DC,2011-03,32
20015,DC,2011-04,13
20015,DC,2011-05,17
20015,DC,2011-06,27
20015,DC,2011-07,21
20015,DC,2011-08,25
20015,DC,2011-09,15
20015,DC,2011-10,11
20015,DC,2011-11,10
20015,DC,2011-12,19
20015,DC,2012-01,11
20015,DC,2012-02,10
20015,DC,2012-03,14
20015,DC,2012-04,13
20015,DC,2012-05,12
20015,DC,2012-06,25
20015,DC,2012-07,24
20015,DC,2012-08,19
20015,DC,2012-09,17
20015,DC,2012-10,16
20015,DC,2012-11,21
20015,DC,2012-12,33
20015,DC,2013-01,18
20015,DC,2013-02,8
20015,DC,2013-03,19
20015,DC,2013-04,23
20015,DC,2013-05,15
20015,DC,2013-06,30
20015,DC,2013-07,30
20015,DC,2013-08,31
20015,DC,2013-09,17
20015,DC,2013-10,21
20015,DC,2013-11,22
20015,DC,2013-12,17
20015,DC,2014-01,9
20015,DC,2014-02,6
20015,DC,2014-03,16
20015,DC,2014-04,12
20015,DC,2014-05,21
20015,DC,2014-06,28
20015,DC,2014-07,30
20015,DC,2014-08,18
20015,DC,2014-09,17
20015,DC,2014-10,26
20015,DC,2014-11,11
20015,DC,2014-12,19
20015,DC,2015-01,5
20015,DC,2015-02,10
20015,DC,2015-03,17
20015,DC,2015-04,19
20015,DC,2015-05,16
20015,DC,2015-06,16
20015,DC,2015-07,28
20015,DC,2015-08,18
20015,DC,2015-09,20
20015,DC,2015-10,21
20015,DC,2015-11,21
