RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,PctOfHomesDecreasingInValues
66126,20002,Washington,DC,Washington,District of Columbia,33,2008-11,86.35
66126,20002,Washington,DC,Washington,District of Columbia,33,2008-12,83.81
66126,20002,Washington,DC,Washington,District of Columbia,33,2009-01,86.55
66126,20002,Washington,DC,Washington,District of Columbia,33,2009-02,85.19
66126,20002,Washington,DC,Washington,District of Columbia,33,2009-03,81.28
66126,20002,Washington,DC,Washington,District of Columbia,33,2009-04,77.64
66126,20002,Washington,DC,Washington,District of Columbia,33,2009-05,76.05
66126,20002,Washington,DC,Washington,District of Columbia,33,2009-06,75.46
66126,20002,Washington,DC,Washington,District of Columbia,33,2009-07,70.57
66126,20002,Washington,DC,Washington,District of Columbia,33,2009-08,66.97
66126,20002,Washington,DC,Washington,District of Columbia,33,2009-09,65.32
66126,20002,Washington,DC,Washington,District of Columbia,33,2009-10,66.08
66126,20002,Washington,DC,Washington,District of Columbia,33,2009-11,64.94
66126,20002,Washington,DC,Washington,District of Columbia,33,2009-12,63.94
66126,20002,Washington,DC,Washington,District of Columbia,33,2010-01,55.15
66126,20002,Washington,DC,Washington,District of Columbia,33,2010-02,46.12
66126,20002,Washington,DC,Washington,District of Columbia,33,2010-03,42.23
66126,20002,Washington,DC,Washington,District of Columbia,33,2010-04,42.11
66126,20002,Washington,DC,Washington,District of Columbia,33,2010-05,39.7
