RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,MedianValuePerSqft
66155,20037,Washington,DC,Washington,District of Columbia,5557,2004-09,502
66155,20037,Washington,DC,Washington,District of Columbia,5557,2004-10,513
66155,20037,Washington,DC,Washington,District of Columbia,5557,2004-11,523
66155,20037,Washington,DC,Washington,District of Columbia,5557,2004-12,533
66155,20037,Washington,DC,Washington,District of Columbia,5557,2005-01,540
66155,20037,Washington,DC,Washington,District of Columbia,5557,2005-02,545
66155,20037,Washington,DC,Washington,District of Columbia,5557,2005-03,551
66155,20037,Washington,DC,Washington,District of Columbia,5557,2005-04,558
66155,20037,Washington,DC,Washington,District of Columbia,5557,2005-05,565
66155,20037,Washington,DC,Washington,District of Columbia,5557,2005-06,571
66155,20037,Washington,DC,Washington,District of Columbia,5557,2005-07,575
66155,20037,Washington,DC,Washington,District of Columbia,5557,2005-08,578
66155,20037,Washington,DC,Washington,District of Columbia,5557,2005-09,581
66155,20037,Washington,DC,Washington,District of Columbia,5557,2005-10,585
66155,20037,Washington,DC,Washington,District of Columbia,5557,2005-11,591
66155,20037,Washington,DC,Washington,District of Columbia,5557,2005-12,595
66155,20037,Washington,DC,Washington,District of Columbia,5557,2006-01,596
66155,20037,Washington,DC,Washington,District of Columbia,5557,2006-02,597
66155,20037,Washington,DC,Washington,District of Columbia,5557,2006-03,598
66155,20037,Washington,DC,Washington,District of Columbia,5557,2006-04,597
66155,20037,Washington,DC,Washington,District of Columbia,5557,2006-05,597
66155,20037,Washington,DC,Washington,District of Columbia,5557,2006-06,597
66155,20037,Washington,DC,Washington,District of Columbia,5557,2006-07,595
66155,20037,Washington,DC,Washington,District of Columbia,5557,2006-08,590
66155,20037,Washington,DC,Washington,District of Columbia,5557,2006-09,584
66155,20037,Washington,DC,Washington,District of Columbia,5557,2006-10,580
66155,20037,Washington,DC,Washington,District of Columbia,5557,2006-11,574
66155,20037,Washington,DC,Washington,District of Columbia,5557,2006-12,568
66155,20037,Washington,DC,Washington,District of Columbia,5557,2007-01,564
66155,20037,Washington,DC,Washington,District of Columbia,5557,2007-02,563
66155,20037,Washington,DC,Washington,District of Columbia,5557,2007-03,563
