RegionID,RegionName,City,State,Metro,CountyName,SizeRank,MedianSoldPricePerSqft,
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1997-04,
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1997-05,
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1997-06,
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1997-07,116.8364
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1997-08,128.4891
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1997-09,123.9541
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1997-10,124.1932
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1997-11,114.7317
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1997-12,118.2998
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1998-01,107.0502
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1998-02,114.8911
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1998-03,110.7509
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1998-04,117.0614
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1998-05,123.3644
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1998-06,124.1499
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1998-07,129.4975
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1998-08,135.7717
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1998-09,127.0005
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1998-10,
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1998-11,
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1998-12,
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1999-01,108.7963
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1999-02,102.4209
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1999-03,121.0919
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1999-04,130.1632
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1999-05,139.0749
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1999-06,137.087
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1999-07,137.3884
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1999-08,140.9665
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1999-09,
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1999-10,
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1999-11,
