RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,ZhvAvgYoY
66126,20002,Washington,DC,Washington,District of Columbia,38,2007-12,-0.00122
66126,20002,Washington,DC,Washington,District of Columbia,38,2008-01,-0.00927
66126,20002,Washington,DC,Washington,District of Columbia,38,2008-02,-0.01706
66126,20002,Washington,DC,Washington,District of Columbia,38,2008-03,-0.02772
66126,20002,Washington,DC,Washington,District of Columbia,38,2008-04,-0.03735
66126,20002,Washington,DC,Washington,District of Columbia,38,2008-05,-0.04695
66126,20002,Washington,DC,Washington,District of Columbia,38,2008-06,-0.05393
66126,20002,Washington,DC,Washington,District of Columbia,38,2008-07,-0.05949
66126,20002,Washington,DC,Washington,District of Columbia,38,2008-08,-0.06456
66126,20002,Washington,DC,Washington,District of Columbia,38,2008-09,-0.06892
66126,20002,Washington,DC,Washington,District of Columbia,38,2008-10,-0.07283
66126,20002,Washington,DC,Washington,District of Columbia,38,2008-11,-0.07332
66126,20002,Washington,DC,Washington,District of Columbia,38,2008-12,-0.07274
66126,20002,Washington,DC,Washington,District of Columbia,38,2009-01,-0.07039
66126,20002,Washington,DC,Washington,District of Columbia,38,2009-02,-0.06844
66126,20002,Washington,DC,Washington,District of Columbia,38,2009-03,-0.06453
66126,20002,Washington,DC,Washington,District of Columbia,38,2009-04,-0.06198
66126,20002,Washington,DC,Washington,District of Columbia,38,2009-05,-0.05967
66126,20002,Washington,DC,Washington,District of Columbia,38,2009-06,-0.0593
66126,20002,Washington,DC,Washington,District of Columbia,38,2009-07,-0.05631
66126,20002,Washington,DC,Washington,District of Columbia,38,2009-08,-0.05299
66126,20002,Washington,DC,Washington,District of Columbia,38,2009-09,-0.04727
66126,20002,Washington,DC,Washington,District of Columbia,38,2009-10,-0.04254
66126,20002,Washington,DC,Washington,District of Columbia,38,2009-11,-0.03799
66126,20002,Washington,DC,Washington,District of Columbia,38,2009-12,-0.03369
